player_name,country,player_pk,gender,instagram_url,tiktok_url,twitter_url,youtube_url
Juan Lebron,ESP,1,homme,https://www.instagram.com/juanlebron,https://www.tiktok.com/@juanlebron,https://twitter.com/juanlebron,https://www.youtube.com/@JuanLebronOficial
Alejandro Galan,ESP,2,homme,https://www.instagram.com/alegalan_6,https://www.tiktok.com/@alejandrogalan,https://twitter.com/alegalan_6,https://www.youtube.com/@AlejandroGalan
Franco Stupaczuk,ARG,7,homme,https://www.instagram.com/francostupaczuk,not active on this social media,not active on this social media,not active on this social media
Martin Di Nenno,ARG,8,homme,https://www.instagram.com/martindinennook,not active on this social media,not active on this social media,not active on this social media
Federico Chingotto,ARG,15,homme,https://www.instagram.com/federicochingotto,not active on this social media,not active on this social media,not active on this social media
Francisco Navarro,ESP,16,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Arturo Coello,ESP,23,homme,https://www.instagram.com/artucoel,https://www.tiktok.com/@arturocoello,not active on this social media,https://www.youtube.com/@ArturoCoel
Agustin Tapia,ARG,24,homme,https://www.instagram.com/agustintapia22,https://www.tiktok.com/@agustintapia,https://twitter.com/agustintapia22,https://www.youtube.com/@AgustinTapiaOficial
Alejandro Ruiz Granados,ESP,31,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Juan Tello,ARG,32,homme,https://www.instagram.com/juantello,not active on this social media,not active on this social media,not active on this social media
Miguel Yanguas,ESP,39,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Fernando Belasteguin,ARG,40,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Jeronimo Gonzalez,ESP,47,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Carlos Daniel Gutierrez,ARG,48,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Agustin Silingo,ARG,55,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Pablo Lima,BRA,56,homme,https://www.instagram.com/pablolima,not active on this social media,not active on this social media,not active on this social media
Lucas Campagnolo,BRA,63,homme,https://www.instagram.com/lucascampagnolo,not active on this social media,not active on this social media,not active on this social media
Javier Garrido,ESP,64,homme,https://www.instagram.com/javiergarrido,not active on this social media,not active on this social media,not active on this social media
Lucas Bergamini,BRA,81,homme,https://www.instagram.com/lucasbergamini,not active on this social media,not active on this social media,not active on this social media
Victor Ruiz,ESP,82,homme,https://www.instagram.com/victorruiz,not active on this social media,not active on this social media,not active on this social media
Jon Sanz,ESP,89,homme,https://www.instagram.com/jonsanz,not active on this social media,not active on this social media,not active on this social media
Jorge Nieto Ruiz,ESP,90,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Alejandro Arroyo,ESP,97,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Gonzalo Rubio,ESP,98,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Juan Cruz Belluati,ARG,115,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Javier Ruiz Gonzalez,ESP,116,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Jose Rico,ESP,123,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Agustin Gutierrez,ARG,124,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Jose Antonio Diestro,ESP,131,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Javier Leal,ESP,132,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Miguel Semmler,ESP,139,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Pablo LijÃ³ Santos,ESP,140,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Miguel Lamperti,ARG,157,homme,https://www.instagram.com/miguellamperti,not active on this social media,not active on this social media,not active on this social media
Denis Tomas Perino,ITA,158,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Antonio Fernandez,ESP,165,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Pablo Cardona,ESP,166,homme,https://www.instagram.com/pablocardona,not active on this social media,not active on this social media,not active on this social media
Eduardo Alonso,ESP,173,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Juanlu Esbri,ESP,174,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Facundo Dominguez,ITA,179,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Alvaro Cepero,ESP,180,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Ignacio VillariÃ±o Gestoso,ESP,193,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Salva Oria,ESP,194,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Diego Gil,ESP,213,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Ignacio Sager,ESP,214,homme,https://www.instagram.com/ignaciosager,not active on this social media,not active on this social media,not active on this social media
Benjamin Tison,FRA,219,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Victor Manuel Mena,ESP,220,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Anton Sans,ESP,225,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Teodoro Zapata,ESP,226,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Javier Martinez,ESP,231,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Jorge Ruiz,ESP,232,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Toni Bueno,ESP,237,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Rafael Mendez,ESP,238,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Mario Del Castillo,ESP,243,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Miguel Benitez Lara,ESP,244,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Mario Ortega,ESP,249,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Carlos Marti,ESP,250,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
Sergio Icardo,ESP,255,homme,not active on this social media,not active on this social media,not active on this social media,not active on this social media
