product_name,pk_equipement,brand,type_produit,player_name
Tripack de 3 balles Head Padel One x Esprit Padel Shop,1,Head,balles,no player
Tripack de 3 balles Head Padel Team,2,Head,balles,no player
Tripack de 3 balles Head Padel Pro+,3,Head,balles,no player
Tripack de 3 balles Bullpadel Next Pro,4,Bullpadel,balles,no player
Carton de 24 tubes de balles Head Padel Pro S+,5,Head,balles,no player
Tube de 3 balles PINQ Padel,6,Tube,balles,no player
Tripack de 3 balles Wilson Premier Padel Speed,7,Wilson,balles,no player
Tripack de 3 balles PINQ Padel,8,Tripack,balles,no player
Tripack de 3 balles Head Padel Pro S+,9,Head,balles,no player
Tube de 3 balles Head Padel Pro+,10,Head,balles,no player
Carton de 24 tubes de balles Head Padel One x Esprit Padel Shop,11,Head,balles,no player
Tripack de 3 balles Bullpadel Next,12,Bullpadel,balles,no player
Carton de 24 tubes de balles Bullpadel Next Pro,13,Bullpadel,balles,no player
Carton de 24 tubes de balles Wilson Premier Padel Speed,14,Wilson,balles,no player
Carton de 24 tubes de balles Head Padel Pro+,15,Head,balles,no player
Tripack de 3 balles Nox Nerbo,16,Nox,balles,no player
Tube de 3 balles Bullpadel Premium Pro,17,Bullpadel,balles,no player
Carton de 24 tubes de balles Bullpadel Premium Pro,18,Bullpadel,balles,no player
Tube de 3 balles Head Padel Team,19,Head,balles,no player
Tube de 3 balles Bullpadel Next Pro,20,Bullpadel,balles,no player
Pack de 12 tubes de balles Head Padel Pro S+,21,Head,balles,no player
Tube de 3 balles Nox Nerbo,22,Nox,balles,no player
Tube de 3 balles Head Padel Pro S+,23,Head,balles,no player
Tripack de 3 balles Bullpadel Premium Pro,24,Bullpadel,balles,no player
Chaussures de padel Femme Bullpadel Flow 25I Bleu,25,Bullpadel,Chaussures,Alejandra Salazar
Chaussures de padel Femme Bullpadel Pearl Vibram 25I Noir,26,Bullpadel,Chaussures,Bea GonzÃ¡lez
Chaussures de padel Femme Bullpadel Pearl Vibram 25V Vert,27,Bullpadel,Chaussures,Bea GonzÃ¡lez
Chaussures de padel Femme Bullpadel Pearl Vibram 25I Gris,28,Bullpadel,Chaussures,Bea GonzÃ¡lez
Chaussures de padel Femme Bullpadel Vertex Vibram 25I Blanc,29,Bullpadel,Chaussures,Delfi Brea
Chaussures de padel Femme Bullpadel Vertex Vibram 25I Bleu,30,Bullpadel,Chaussures,Delfi Brea
Chaussures de padel Femme Bullpadel Vertex Vibram 25V Bleu,31,Bullpadel,Chaussures,Delfi Brea
Chaussures de padel Femme Bullpadel Vertex Vibram 26V Noir,32,Bullpadel,Chaussures,Delfi Brea
Chaussures de padel Femme Bullpadel Vertex Vibram 26V Gris,33,Bullpadel,Chaussures,Delfi Brea
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Blanc Edition France,34,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron Vibram 25V Blanc,35,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron Vibram 25V Noir,36,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Noir,37,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Blanc,38,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron Vibram 25V Orange,39,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron Vibram 25I Bleu,40,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron 26V Blanc,41,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron 26V Gris,42,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Bullpadel Neuron 26V Bleu,43,Bullpadel,Chaussures,Federico Chingotto
Chaussures de padel Homme Wilson Bela Tour Blanc,44,Wilson,Chaussures,Fernando Belasteguin
Chaussures de padel Wilson Bela Tour Noir,45,Wilson,Chaussures,Fernando Belasteguin
Chaussures de padel Femme Wilson Bela Pro Rouge,46,Wilson,Chaussures,Fernando Belasteguin
Chaussures de padel Femme Bullpadel Elite 25I Blanc,47,Bullpadel,Chaussures,Gemma Triay
Chaussures de padel Femme Bullpadel Elite 24I Bleu Marine,48,Bullpadel,Chaussures,Gemma Triay
Chaussures de Padel femme Bullpadel Elite 23I Vert/Rose,49,Bullpadel,Chaussures,Gemma Triay
Chaussures de padel Homme Babolat Jet Premura 2 Lebron Bleu/Blanc,50,Babolat,Chaussures,Juan Lebron
Chaussures de padel Homme Babolat Jet Premura 2 Lebron Bleu,51,Babolat,Chaussures,Juan Lebron
Chaussures de padel Homme Babolat Premura 3 Lebron Blanc/Orange,52,Babolat,Chaussures,Juan Lebron
Chaussures de padel Homme Bullpadel Vertex Vibram 25I Bleu Marine,53,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel Vertex Vibram 25V Jaune,54,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel Vertex Vibram 25I Vert,55,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel Vertex Vibram 25I Rouge,56,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel Vertex Vibram 26V Noir,57,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel Vertex Vibram 26V Bleu,58,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel Vertex Vibram 26V Orange,59,Bullpadel,Chaussures,Juan Tello
Chaussures de padel Homme Bullpadel XPLO Vibram 26V Orange,60,Bullpadel,Chaussures,Martin Di Nenno
Chaussures de padel Homme Bullpadel XPLO Vibram 26V Blanc,61,Bullpadel,Chaussures,Martin Di Nenno
Chaussures de padel Homme Bullpadel XPLO Vibram 26V Gris,62,Bullpadel,Chaussures,Martin Di Nenno
Chaussures de padel Homme Bullpadel Hack Vibram 25V Gris,63,Bullpadel,Chaussures,Paquito Navarro
Chaussures de padel Homme Bullpadel Hack Hybrid Fly 23I Bleu,64,Bullpadel,Chaussures,Paquito Navarro
Chaussures de padel Homme Bullpadel Hack Hybrid Fly 23I Gris,65,Bullpadel,Chaussures,Paquito Navarro
Chaussures de padel Homme K-Swiss Ultra Court Padel Sanyo,66,K-Swiss,Chaussures,Sanyo Gutierrez
Chaussures de padel Homme Adidas Crazyquick LS Blanc/Rouge,67,Adidas,Chaussures,no player
Chaussures de padel Homme Babolat Jet Viva Blanc,68,Babolat,Chaussures,no player
Chaussures de padel Homme Adidas Crazyquick Boost Blanc/Rouge,69,Adidas,Chaussures,no player
Chaussures de padel Homme Asics Gel-Resolution X Padel,70,Asics,Chaussures,no player
Chaussures de padel Femme Babolat Jet Ritma gris/rose,71,Babolat,Chaussures,no player
Chaussures de padel Homme Asics Gel-Resolution X Padel Bleu Marine,72,Asics,Chaussures,no player
Chaussures de padel Homme Babolat Jet Premura 2 Noir/Rouge,73,Babolat,Chaussures,no player
Chaussures de padel Homme Babolat Jet Premura 2 Orange/Noir,74,Babolat,Chaussures,no player
Chaussures de padel Homme Head Motion Pro Boa Blanc,75,Head,Chaussures,no player
Chaussures de padel Homme Babolat Movea 2 Blanc,76,Babolat,Chaussures,no player
Chaussures de padel Homme Head Sprint Pro 4.0 Blanc/Noir,77,Head,Chaussures,no player
Chaussures de padel Femme Babolat Jet Ritma jaune/blanche,78,Babolat,Chaussures,no player
Chaussures de padel Homme Nox AT10 Pro Blanc,79,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Lux Noir/Rouge,80,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Limited Edition 2024,81,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Lux Gris/Bleu,82,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Lux Blanc/Gris,83,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Pro Noir/Gold,84,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Pro Noir/Rouge,85,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Pro Blanc,86,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Pro Blanc/Rose,87,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Pro Rouge,88,Nox,Chaussures,Agustin Tapia
Chaussures de padel Unisex Nox AT10 Lux Blanc,89,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Lux Marron,90,Nox,Chaussures,Agustin Tapia
Chaussures de padel Unisex Nox AT10 Lux Noir,91,Nox,Chaussures,Agustin Tapia
Chaussures de padel Unisex Nox AT10 Pro Blanc,92,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Lux Bleu Marine,93,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Lux Bleu,94,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Pro Beige,95,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox AT10 Pro Noir,96,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Pro Violet,97,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Pro Beige,98,Nox,Chaussures,Agustin Tapia
Chaussures de padel Unisex Nox AT10 Pro Bleu,99,Nox,Chaussures,Agustin Tapia
Chaussures de padel Femme Nox AT10 Pro Orange,100,Nox,Chaussures,Agustin Tapia
Chaussures de padel Homme Nox ML10 Noir/Gris,101,Nox,Chaussures,Miguel Lamperti
Chaussures de padel Homme Nox ML10 Blanc,102,Nox,Chaussures,Miguel Lamperti
Chaussures de padel Homme Nox ML10 Hexa Bleu rouge,103,Nox,Chaussures,Miguel Lamperti
Chaussures de padel Unisex Nox ML10 Hexa Blanc,104,Nox,Chaussures,Miguel Lamperti
Chaussures de padel Homme Nox ML10 Hexa Bleu,105,Nox,Chaussures,Miguel Lamperti
Chaussures de padel Homme Nox ML10 Hexa Noir,106,Nox,Chaussures,Miguel Lamperti
