team_pk,player1,player2,team_key
1,Abdulaziz Redha,Javier Navarro Perez,Abdulaziz Redha / Javier Navarro Perez
3,Abdulaziz Redha,Omar Althagib,Abdulaziz Redha / Omar Althagib
5,Abdulaziz Saadon Alkuwari,Amr Hassan,Abdulaziz Saadon Alkuwari / Amr Hassan
7,Abdulla Alhijji,Mohammed Saadon Alkuwari,Abdulla Alhijji / Mohammed Saadon Alkuwari
9,Abdulla Alhijji,Rayan Abdulla,Abdulla Alhijji / Rayan Abdulla
11,Adam Axelsson,Daniel Santigosa Sastre,Adam Axelsson / Daniel Santigosa Sastre
13,Adam Axelsson,Fran Ramirez Navas,Adam Axelsson / Fran Ramirez Navas
15,Adam Axelsson,Simon Vasquez,Adam Axelsson / Simon Vasquez
17,Adria Mercadal,Clement Geens,Adria Mercadal / Clement Geens
19,Adria Mercadal,Ruben Rivera,Adria Mercadal / Ruben Rivera
21,Adrian Marques Berdonce,Gerard Arnaldos Serrano,Adrian Marques Berdonce / Gerard Arnaldos Serrano
23,Adrian Marques Berdonce,Ignacio Piotto Albornoz,Adrian Marques Berdonce / Ignacio Piotto Albornoz
24,Adrian Marques Berdonce,Marc Sintes Villalonga,Adrian Marques Berdonce / Marc Sintes Villalonga
26,Adrian Marques Berdonce,Marco Cassetta,Adrian Marques Berdonce / Marco Cassetta
28,Adrian Marques Berdonce,Mario Huete Hernandez,Adrian Marques Berdonce / Mario Huete Hernandez
30,Adrian Naranjo Martinez,Christian Fuster,Adrian Naranjo Martinez / Christian Fuster
32,Adrian Ronco Lopez,Carlos Perez Cabeza,Adrian Ronco Lopez / Carlos Perez Cabeza
34,Adrian Ronco Lopez,Pepe Aliaga,Adrian Ronco Lopez / Pepe Aliaga
36,Adrien Maigret,Jerome Inzerillo,Adrien Maigret / Jerome Inzerillo
38,Agustin Gomez Silingo,Federico Mouriño,Agustin Gomez Silingo / Federico Mouriño
40,Agustin Gomez Silingo,Gustavo Nunes,Agustin Gomez Silingo / Gustavo Nunes
42,Agustin Gomez Silingo,Juan Martin Diaz Martinez,Agustin Gomez Silingo / Juan Martin Diaz Martinez
43,Agustin Gomez Silingo,Pablo Lima,Agustin Gomez Silingo / Pablo Lima
45,Agustin Gutierrez,Carlos Daniel Gutierrez,Agustin Gutierrez / Carlos Daniel Gutierrez
47,Agustin Gutierrez,Jaime Munoz,Agustin Gutierrez / Jaime Munoz
49,Agustin Gutierrez,Javier Valdes,Agustin Gutierrez / Javier Valdes
51,Agustin Gutierrez,Jose Rico,Agustin Gutierrez / Jose Rico
53,Agustin Gutierrez,Lucas Campagnolo,Agustin Gutierrez / Lucas Campagnolo
55,Agustin Gutierrez,Luciano Capra,Agustin Gutierrez / Luciano Capra
56,Agustin Reca,Guillem Figuerola Santiago,Agustin Reca / Guillem Figuerola Santiago
58,Agustin Tapia,Arturo Coello,Agustin Tapia / Arturo Coello
60,Agustín Torre,Alvaro Cepero,Agustín Torre / Alvaro Cepero
62,Agustín Torre,Enzo Jensen Sirvent,Agustín Torre / Enzo Jensen Sirvent
64,Agustín Torre,Mario Ortega,Agustín Torre / Mario Ortega
66,Aimar Goñi Lacabe,Jaime Munoz,Aimar Goñi Lacabe / Jaime Munoz
68,Aimar Goñi Lacabe,Luciano Capra,Aimar Goñi Lacabe / Luciano Capra
70,Aimar Goñi Lacabe,Mario Ortega,Aimar Goñi Lacabe / Mario Ortega
72,Aitor Garcia,Benjamin Tison,Aitor Garcia / Benjamin Tison
74,Aitor Garcia,Mario Huete Hernandez,Aitor Garcia / Mario Huete Hernandez
76,Aitor Garcia,Miguel Angel Solbes,Aitor Garcia / Miguel Angel Solbes
78,Aitor Garcia,Pedro Vera,Aitor Garcia / Pedro Vera
80,Albert Roglan Pons,Ferran Insa Sotillo,Albert Roglan Pons / Ferran Insa Sotillo
82,Alberto Garcia Jimenez,Christian Medina Murphy,Alberto Garcia Jimenez / Christian Medina Murphy
84,Alberto Garcia Trabanco,Ivan Ramirez,Alberto Garcia Trabanco / Ivan Ramirez
86,Alberto Garcia Trabanco,Pablo Marqués Gonzalez,Alberto Garcia Trabanco / Pablo Marqués Gonzalez
88,Albin Olsson,Douglas Rutgersson,Albin Olsson / Douglas Rutgersson
90,Alejandro Arroyo,Alejandro Ruiz,Alejandro Arroyo / Alejandro Ruiz
92,Alejandro Arroyo,Carlos Daniel Gutierrez,Alejandro Arroyo / Carlos Daniel Gutierrez
94,Alejandro Arroyo,Eduardo Alonso,Alejandro Arroyo / Eduardo Alonso
96,Alejandro Arroyo,Gonzalo Rubio,Alejandro Arroyo / Gonzalo Rubio
98,Alejandro Arroyo,Inigo Jofre,Alejandro Arroyo / Inigo Jofre
