tournament_name,start_date,category,pk_tournament,end_date,venue,country,year
OOREDOO QATAR MAJOR,2023-02-26 00:00:00+01,Major,1,2023-03-05,,Qatar,2023
BNL ITALY MAJOR,2023-07-08 00:00:00+02,Major,2,2023-07-16,,Italy,2023
MADRID  P1,2023-07-15 00:00:00+02,P1,3,2023-07-23,,Spain,2023
MENDOZA  P1,2023-07-29 00:00:00+02,P1,4,2023-08-06,,Argentina,2023
PARIS MAJOR,2023-09-03 00:00:00+02,Major,5,2023-09-10,,France,2023
MILANO  P1,2023-12-02 00:00:00+01,P1,6,2023-12-10,,Italy,2023
RIYADH SEASON  P1,2024-02-24 00:00:00+01,P1,7,2024-03-02,"Padel Rush Arena - QJC3+73R, HittinDistrict, Riyadh 13516",Saudi Arabia,2024
OOREDOO QATAR MAJOR,2024-03-01 00:00:00+01,Major,8,2024-03-08,Khalifa International Tennis & Sqaush Complex,Qatar,2024
GNP ACAPULCO P1,2024-03-17 00:00:00+01,P1,9,2024-03-24,,Mexico,2024
PUERTO CABELLO  P2,2024-03-23 00:00:00+01,P2,10,2024-03-31,Malecón - Plaza Bolívar,Venezuela,2024
LOTTO BRUSSELS  P2 PRESENTED BY BELFIUS,2024-04-20 00:00:00+02,P2,11,2024-04-28,Gare Maritime,Belgium,2024
SEVILLA  P2,2024-04-28 00:00:00+02,P2,12,2024-05-05,Estadio La Cartuja de Sevilla,Spain,2024
ASUNCION  P2,2024-05-11 00:00:00+02,P2,13,2024-05-19,UENO SND ARENA,Paraguay,2024
MAR DEL PLATA  P1,2024-05-18 00:00:00+02,P1,14,2024-05-26,"POLIDEPORTIVO ISLAS MALVIDAS; Av. Juan B. Justo 3525, Peralta Ramos;  Oeste, B760",Argentina,2024
BANCO DE CHILE SANTIAGO  P1,2024-05-26 00:00:00+02,P1,15,2024-06-03,"MOVISTAR ARENA; Tupper 1941, Santiago, Región; Metropolitana CHILE",Chile,2024
BETCLIC BORDEAUX  P2,2024-06-09 00:00:00+02,P2,16,2024-06-16,ARKÉA ARENA,France,2024
BNL ITALY MAJOR,2024-06-15 00:00:00+02,Major,17,2024-06-23,,Italy,2024
GENOVA  P2,2024-06-30 00:00:00+02,P2,18,2024-07-07,Valletta Cambiaso TennisClub,Italy,2024
MALAGA  P1,2024-07-06 00:00:00+02,P1,19,2024-07-14,,Spain,2024
FINLAND  P2,2024-07-28 00:00:00+02,P2,20,2024-08-04,"PADELONE ARENA Kivimiehenkatu 3, 33380 Nokia,  Finlande",Finland,2024
COMUNIDAD DE MADRID  P1,2024-08-31 00:00:00+02,P1,21,2024-09-08,"WIZINK CENTER, Avenida Felipe II 28009 Madrid España",Spain,2024
ROTTERDAM  P1,2024-09-08 00:00:00+02,P1,22,2024-09-15,"AHOY Rotterdam, Ahoyweg 10, 3084 BA Rotterdam",Netherlands,2024
OYSHO VALLADOLID  P2,2024-09-14 00:00:00+02,P2,23,2024-09-22,,Spain,2024
GREENWEEZ PARIS MAJOR,2024-09-28 00:00:00+02,Major,24,2024-10-06,Stade ROLAND-GARROS; 2 avenue Gordon-Bennett; 75016 Paris,France,2024
NEWGIZA  P2,2024-10-19 00:00:00+02,P2,25,2024-10-26,"NEWGIZA SPORTS CLUB, KM22 Cairo-Alex road 12256, Giza",Egypt,2024
DUBAI  P1,2024-11-03 00:00:00+01,P1,26,2024-11-10,DUBAI DUTY FREE TENNIS STADIUM,United Arab Emirates,2024
KUWAIT CITY  P1,2024-11-09 00:00:00+01,P1,27,2024-11-17,THE ARENA KUWAIT,Kuwait,2024
GNP MEXICO MAJOR,2024-11-23 00:00:00+01,Major,28,2024-12-01,ARENA GNP SEGUROS,Mexico,2024
MILANO  P1,2024-11-30 00:00:00+01,P1,29,2024-12-08,,Italy,2024
FINALS,2024-12-19 00:00:00+01,Finals,30,2024-12-22,PALAU SANT JORDI,Spain,2024
