tournament_name,team_a_player1,team_b_player1,score_team_a,winner_team,match_date,fact_match_pk,source_year,team_a_player2,team_b_player2,score_team_b,round,team_a_key,team_b_key
OOREDOO QATAR MAJOR,Daniel Windahl,Federico Mouriño,7-6,Daniel Windahl / Jose Solano Marmolejo,2023-03-05 00:00:00+01,1,2023,Jose Solano Marmolejo,Victor Mena,5-4,Round of 64,Daniel Windahl / Jose Solano Marmolejo,Federico Mouriño / Victor Mena
OOREDOO QATAR MAJOR,Jose Luis Gonzalez,Miguel Semmler,3-4,Miguel Semmler / Pablo Lijo,2023-03-05 00:00:00+01,2,2023,Antonio Luque,Pablo Lijo,6-6,Round of 64,Jose Luis Gonzalez / Antonio Luque,Miguel Semmler / Pablo Lijo
OOREDOO QATAR MAJOR,Alonso Rodriguez Martinez,Miguel Yanguas,3-3,Miguel Yanguas / Alejandro Arroyo,2023-03-05 00:00:00+01,3,2023,Cristian German Gutierrez,Alejandro Arroyo,6-6,Round of 64,Alonso Rodriguez Martinez / Cristian German Gutierrez,Miguel Yanguas / Alejandro Arroyo
OOREDOO QATAR MAJOR,Lucas Bergamini,Agustin Gomez Silingo,3-6-6,Lucas Bergamini / Victor Ruiz,2023-03-05 00:00:00+01,4,2023,Victor Ruiz,Juan Martin Diaz Martinez,6-2-3,Round of 64,Lucas Bergamini / Victor Ruiz,Agustin Gomez Silingo / Juan Martin Diaz Martinez
OOREDOO QATAR MAJOR,Francisco Guerrero,Rayyan Al Jufairi,6-6,Francisco Guerrero / Jesus Moya,2023-03-05 00:00:00+01,5,2023,Jesus Moya,Ali Alsaygh,1-2,Round of 64,Francisco Guerrero / Jesus Moya,Rayyan Al Jufairi / Ali Alsaygh
OOREDOO QATAR MAJOR,Miguel Benitez Lara,Ruben Rivera,7-6,Miguel Benitez Lara / Mario Del Castillo,2023-03-05 00:00:00+01,6,2023,Mario Del Castillo,Adria Mercadal,5-1,Round of 64,Miguel Benitez Lara / Mario Del Castillo,Ruben Rivera / Adria Mercadal
OOREDOO QATAR MAJOR,Benjamin Tison,Ignacio Vilariño Gestoso,3-2,Ignacio Vilariño Gestoso / Jaime Munoz,2023-03-05 00:00:00+01,7,2023,Mario Huete Hernandez,Jaime Munoz,6-6,Round of 64,Benjamin Tison / Mario Huete Hernandez,Ignacio Vilariño Gestoso / Jaime Munoz
OOREDOO QATAR MAJOR,Diego Gil,Javier Leal,2-1,Javier Leal / Jon Sanz,2023-03-05 00:00:00+01,8,2023,Miguel Angel Solbes,Jon Sanz,6-6,Round of 64,Diego Gil / Miguel Angel Solbes,Javier Leal / Jon Sanz
OOREDOO QATAR MAJOR,Luciano Capra,Salvador Oria,6-7,Luciano Capra / Agustin Gutierrez,2023-03-05 00:00:00+01,9,2023,Agustin Gutierrez,Jose Rico,3-6,Round of 64,Luciano Capra / Agustin Gutierrez,Salvador Oria / Jose Rico
OOREDOO QATAR MAJOR,Álvaro Melendez Amaya,Arnau Ayats,2-3,Arnau Ayats / Alvaro Cepero,2023-03-05 00:00:00+01,10,2023,Pedro Melendez Amaya,Alvaro Cepero,6-6,Round of 64,Álvaro Melendez Amaya / Pedro Melendez Amaya,Arnau Ayats / Alvaro Cepero
OOREDOO QATAR MAJOR,Ivan Ramirez,Mohammed Abdulla,6-6,Ivan Ramirez / Pablo Cardona,2023-03-05 00:00:00+01,11,2023,Pablo Cardona,Khalid Saadon al-Kuwari,1-0,Round of 64,Ivan Ramirez / Pablo Cardona,Mohammed Abdulla / Khalid Saadon al-Kuwari
OOREDOO QATAR MAJOR,Eduardo Alonso,Mohammed Al Khanji,6-6,Eduardo Alonso / Juanlu Esbri,2023-03-05 00:00:00+01,12,2023,Juanlu Esbri,Jabor Al-Mutawa,0-0,Round of 64,Eduardo Alonso / Juanlu Esbri,Mohammed Al Khanji / Jabor Al-Mutawa
OOREDOO QATAR MAJOR,Marc Quilez,Maximiliano Sanchez,2-7-6,Maximiliano Sanchez / Lucas Campagnolo,2023-03-05 00:00:00+01,13,2023,Toni Bueno,Lucas Campagnolo,6-5-7,Round of 64,Marc Quilez / Toni Bueno,Maximiliano Sanchez / Lucas Campagnolo
OOREDOO QATAR MAJOR,Ramiro Moyano,Ricardo Martinez,6-6,Ramiro Moyano / Francisco Manuel Gil,2023-03-05 00:00:00+01,14,2023,Francisco Manuel Gil,Francisco Miguel Ramirez Navas,4-3,Round of 64,Ramiro Moyano / Francisco Manuel Gil,Ricardo Martinez / Francisco Miguel Ramirez Navas
OOREDOO QATAR MAJOR,Antonio Fernandez,Javier Barahona,6-6,Antonio Fernandez / Jose Antonio Diestro,2023-03-05 00:00:00+01,15,2023,Jose Antonio Diestro,Javier Garcia,2-4,Round of 64,Antonio Fernandez / Jose Antonio Diestro,Javier Barahona / Javier Garcia
OOREDOO QATAR MAJOR,Facundo Dominguez,Javier Rico,3-4,Javier Rico / Jorge Ruiz,2023-03-05 00:00:00+01,16,2023,Javier Valdes,Jorge Ruiz,6-6,Round of 64,Facundo Dominguez / Javier Valdes,Javier Rico / Jorge Ruiz
OOREDOO QATAR MAJOR,Javier Martinez,Riccardo Sinicropi,7-7,Javier Martinez / Rafael Mendez,2023-03-05 00:00:00+01,17,2023,Rafael Mendez,Maxime Moreau,6-5,Round of 64,Javier Martinez / Rafael Mendez,Riccardo Sinicropi / Maxime Moreau
OOREDOO QATAR MAJOR,Abdulla Alhijji,Javier Ruiz,0-1,Javier Ruiz / Gonzalo Rubio,2023-03-05 00:00:00+01,18,2023,Mohammed Saadon Alkuwari,Gonzalo Rubio,6-6,Round of 64,Abdulla Alhijji / Mohammed Saadon Alkuwari,Javier Ruiz / Gonzalo Rubio
OOREDOO QATAR MAJOR,Juan Cruz Belluati,Martin Sanchez Piñeiro,2-6,Martin Sanchez Piñeiro / Pablo Garcia Rodrigo,2023-03-05 00:00:00+01,19,2023,Miguel Lamperti,Pablo Garcia Rodrigo,6-7,Round of 64,Juan Cruz Belluati / Miguel Lamperti,Martin Sanchez Piñeiro / Pablo Garcia Rodrigo
OOREDOO QATAR MAJOR,Enrique Goenaga,Mario Ortega,6-6,Enrique Goenaga / Jairo Bautista,2023-03-05 00:00:00+01,20,2023,Jairo Bautista,Carlos Marti,0-2,Round of 64,Enrique Goenaga / Jairo Bautista,Mario Ortega / Carlos Marti
OOREDOO QATAR MAJOR,Franco Stupaczuk,Alejandro Galan,,Alejandro Galan / Juan Lebron,2023-03-05 00:00:00+01,21,2023,Martin Di Nenno,Juan Lebron,6-6,Round of 32,Franco Stupaczuk / Martin Di Nenno,Alejandro Galan / Juan Lebron
OOREDOO QATAR MAJOR,Daniel Windahl,Miguel Semmler,3-3,Miguel Semmler / Pablo Lijo,2023-03-05 00:00:00+01,22,2023,Jose Solano Marmolejo,Pablo Lijo,6-4,Round of 32,Daniel Windahl / Jose Solano Marmolejo,Miguel Semmler / Pablo Lijo
OOREDOO QATAR MAJOR,Miguel Yanguas,Lucas Bergamini,7-6,Miguel Yanguas / Alejandro Arroyo,2023-03-05 00:00:00+01,23,2023,Alejandro Arroyo,Victor Ruiz,6-6,Round of 32,Miguel Yanguas / Alejandro Arroyo,Lucas Bergamini / Victor Ruiz
OOREDOO QATAR MAJOR,Francisco Guerrero,Raul Marcos,3-1,Francisco Guerrero / Jesus Moya,2023-03-05 00:00:00+01,24,2023,Jesus Moya,Jose David Sanchez,0-1,Round of 32,Francisco Guerrero / Jesus Moya,Raul Marcos / Jose David Sanchez
OOREDOO QATAR MAJOR,Jeronimo Gonzalez,Pablo Lima,6-6,Pablo Lima / Jorge Nieto,2023-03-05 00:00:00+01,25,2023,Alejandro Ruiz,Jorge Nieto,6-6,Round of 32,Jeronimo Gonzalez / Alejandro Ruiz,Pablo Lima / Jorge Nieto
OOREDOO QATAR MAJOR,Miguel Benitez Lara,Ignacio Vilariño Gestoso,1-0,Ignacio Vilariño Gestoso / Jaime Munoz,2023-03-05 00:00:00+01,26,2023,Mario Del Castillo,Jaime Munoz,1-3,Round of 32,Miguel Benitez Lara / Mario Del Castillo,Ignacio Vilariño Gestoso / Jaime Munoz
OOREDOO QATAR MAJOR,Javier Leal,Luciano Capra,6-6,Luciano Capra / Agustin Gutierrez,2023-03-05 00:00:00+01,27,2023,Jon Sanz,Agustin Gutierrez,6-6,Round of 32,Javier Leal / Jon Sanz,Luciano Capra / Agustin Gutierrez
OOREDOO QATAR MAJOR,Arnau Ayats,Jaime Fermosell Delgado,4-2,Arnau Ayats / Alvaro Cepero,2023-03-05 00:00:00+01,28,2023,Alvaro Cepero,Jose Jimenez Casas,0-0,Round of 32,Arnau Ayats / Alvaro Cepero,Jaime Fermosell Delgado / Jose Jimenez Casas
OOREDOO QATAR MAJOR,Fernando Belasteguin,Francisco Navarro,6-6,Francisco Navarro / Juan Tello,2023-03-05 00:00:00+01,29,2023,Carlos Daniel Gutierrez,Juan Tello,6-6-6,Round of 32,Fernando Belasteguin / Carlos Daniel Gutierrez,Francisco Navarro / Juan Tello
OOREDOO QATAR MAJOR,Ivan Ramirez,Eduardo Alonso,7-0-3,Eduardo Alonso / Juanlu Esbri,2023-03-05 00:00:00+01,30,2023,Pablo Cardona,Juanlu Esbri,5-2,Round of 32,Ivan Ramirez / Pablo Cardona,Eduardo Alonso / Juanlu Esbri
OOREDOO QATAR MAJOR,Maximiliano Sanchez,Ramiro Moyano,7-6,Maximiliano Sanchez / Lucas Campagnolo,2023-03-05 00:00:00+01,31,2023,Lucas Campagnolo,Francisco Manuel Gil,6-4-6,Round of 32,Maximiliano Sanchez / Lucas Campagnolo,Ramiro Moyano / Francisco Manuel Gil
OOREDOO QATAR MAJOR,Antonio Fernandez,Inigo Jofre,4-6-3,Antonio Fernandez / Jose Antonio Diestro,2023-03-05 00:00:00+01,32,2023,Jose Antonio Diestro,Luis Hernandez Quesada,2-0,Round of 32,Antonio Fernandez / Jose Antonio Diestro,Inigo Jofre / Luis Hernandez Quesada
OOREDOO QATAR MAJOR,Arturo Coello,Javier Garrido,6-6,Arturo Coello / Agustin Tapia,2023-03-05 00:00:00+01,33,2023,Agustin Tapia,Federico Chingotto,3,Round of 32,Arturo Coello / Agustin Tapia,Javier Garrido / Federico Chingotto
OOREDOO QATAR MAJOR,Javier Rico,Javier Martinez,0,Javier Martinez / Rafael Mendez,2023-03-05 00:00:00+01,34,2023,Jorge Ruiz,Rafael Mendez,7-3-6,Round of 32,Javier Rico / Jorge Ruiz,Javier Martinez / Rafael Mendez
OOREDOO QATAR MAJOR,Javier Ruiz,Martin Sanchez Piñeiro,5-6-2,Martin Sanchez Piñeiro / Pablo Garcia Rodrigo,2023-03-05 00:00:00+01,35,2023,Gonzalo Rubio,Pablo Garcia Rodrigo,6-0,Round of 32,Javier Ruiz / Gonzalo Rubio,Martin Sanchez Piñeiro / Pablo Garcia Rodrigo
OOREDOO QATAR MAJOR,Enrique Goenaga,Teodoro Zapata,7-6,Enrique Goenaga / Jairo Bautista,2023-03-05 00:00:00+01,36,2023,Jairo Bautista,Anton Sans,2-3,Round of 32,Enrique Goenaga / Jairo Bautista,Teodoro Zapata / Anton Sans
OOREDOO QATAR MAJOR,Javier Martinez,Enrique Goenaga,3-0,Enrique Goenaga / Jairo Bautista,2023-03-05 00:00:00+01,44,2023,Rafael Mendez,Jairo Bautista,0-3,Round of 16,Javier Martinez / Rafael Mendez,Enrique Goenaga / Jairo Bautista
OOREDOO QATAR MAJOR,Fernando Belasteguin,Maximiliano Sanchez,1-6-6,Fernando Belasteguin / Carlos Daniel Gutierrez,2023-03-05 00:00:00+01,47,2023,Carlos Daniel Gutierrez,Lucas Campagnolo,4-3,Quarterfinals,Fernando Belasteguin / Carlos Daniel Gutierrez,Maximiliano Sanchez / Lucas Campagnolo
OOREDOO QATAR MAJOR,Franco Stupaczuk,Jeronimo Gonzalez,7-6,Franco Stupaczuk / Martin Di Nenno,2023-03-05 00:00:00+01,49,2023,Martin Di Nenno,Alejandro Ruiz,4-6-4,Semifinals,Franco Stupaczuk / Martin Di Nenno,Jeronimo Gonzalez / Alejandro Ruiz
OOREDOO QATAR MAJOR,Fernando Belasteguin,Arturo Coello,6-1-6,Fernando Belasteguin / Carlos Daniel Gutierrez,2023-03-05 00:00:00+01,50,2023,Carlos Daniel Gutierrez,Agustin Tapia,7-3-2,Semifinals,Fernando Belasteguin / Carlos Daniel Gutierrez,Arturo Coello / Agustin Tapia
OOREDOO QATAR MAJOR,Franco Stupaczuk,Fernando Belasteguin,5-6-6,Franco Stupaczuk / Martin Di Nenno,2023-03-05 00:00:00+01,51,2023,Martin Di Nenno,Carlos Daniel Gutierrez,2-6,Final,Franco Stupaczuk / Martin Di Nenno,Fernando Belasteguin / Carlos Daniel Gutierrez
BNL ITALY MAJOR,Marco Cassetta,Antonio Fernandez,6-1-1,Antonio Fernandez / Pablo Cardona,2023-07-16 00:00:00+02,52,2023,Simone Cremona,Pablo Cardona,4-6-6,Round of 64,Marco Cassetta / Simone Cremona,Antonio Fernandez / Pablo Cardona
BNL ITALY MAJOR,Toni Bueno,Adria Mercadal,3-7-6,Toni Bueno / Rafael Mendez,2023-07-16 00:00:00+02,53,2023,Rafael Mendez,Ruben Rivera,6-5-1,Round of 64,Toni Bueno / Rafael Mendez,Adria Mercadal / Ruben Rivera
BNL ITALY MAJOR,Cristian Jensen Sirvent,Jose Rico,3-4,Jose Rico / Agustin Gutierrez,2023-07-16 00:00:00+02,54,2023,Enzo Jensen Sirvent,Agustin Gutierrez,6-6,Round of 64,Cristian Jensen Sirvent / Enzo Jensen Sirvent,Jose Rico / Agustin Gutierrez
BNL ITALY MAJOR,Alejandro Arroyo,Arnau Ayats,6-6,Alejandro Arroyo / Gonzalo Rubio,2023-07-16 00:00:00+02,55,2023,Gonzalo Rubio,Francisco Guerrero,3-4,Round of 64,Alejandro Arroyo / Gonzalo Rubio,Arnau Ayats / Francisco Guerrero
BNL ITALY MAJOR,Emiliano Martin Iriart,Javier Valdes,3-6,Javier Valdes / Jose David Sanchez,2023-07-16 00:00:00+02,56,2023,Carlos Perez Cabeza,Jose David Sanchez,6-7,Round of 64,Emiliano Martin Iriart / Carlos Perez Cabeza,Javier Valdes / Jose David Sanchez
