player_name,country,points,position,year,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,fact_player_pk
Samuel Jesus Reyes Martin,ESP,1771,1,2024,no verified account,no verified account,no verified account,no verified account,no verified account,1
Marco Mismetti,ITA,1003,12,2024,no verified account,no verified account,no verified account,no verified account,no verified account,2
Mariano Agustin Gonzalez San Martin,PAR,396,3,2024,no verified account,no verified account,no verified account,no verified account,no verified account,3
Marco Antonio Quereda Moreno,ESP,380,21,2024,no verified account,no verified account,no verified account,no verified account,no verified account,4
Agustin Reca,DEU,327,27,2024,no verified account,no verified account,no verified account,no verified account,no verified account,5
Adrian Martinez Galindo,ESP,298,37,2024,no verified account,no verified account,no verified account,no verified account,no verified account,6
Jose Luis Gonzalez,ESP,287,351,2024,no verified account,no verified account,no verified account,no verified account,no verified account,7
Nacho Moragues MoltÃ²,ESP,283,46,2024,no verified account,no verified account,no verified account,no verified account,no verified account,8
Victor Ortega Garcia,ESP,260,49,2024,no verified account,no verified account,no verified account,no verified account,no verified account,9
Hugo Garcia Martinez,ESP,254,115,2024,no verified account,no verified account,no verified account,no verified account,no verified account,10
Adrian Naranjo Martinez,ESP,254,67,2024,no verified account,no verified account,no verified account,no verified account,no verified account,11
Nicolai Maniucov Maniucova,ESP,241,37,2024,no verified account,no verified account,no verified account,no verified account,no verified account,12
Adam Axelsson,SWE,199,52,2024,no verified account,no verified account,no verified account,no verified account,no verified account,13
Boris Castro Garcia,ESP,183,92,2024,no verified account,no verified account,no verified account,no verified account,no verified account,14
Emiliano Martin Iriart,ITA,158,143,2024,no verified account,no verified account,no verified account,no verified account,no verified account,15
Sergio Alba SÃ¡nchez,ESP,156,624,2024,no verified account,no verified account,no verified account,no verified account,no verified account,16
Pablo Gonzalez Neria,ESP,155,140,2024,no verified account,no verified account,no verified account,no verified account,no verified account,17
Marcos Cordoba,ESP,152,484,2024,no verified account,no verified account,no verified account,no verified account,no verified account,18
Pol Hernandez Alvarez,ESP,144,452,2024,no verified account,no verified account,no verified account,no verified account,no verified account,19
Adrian Ronco Lopez,ESP,142,164,2024,no verified account,no verified account,no verified account,no verified account,no verified account,20
Miguel Deus,PRT,141,297,2024,no verified account,no verified account,no verified account,no verified account,no verified account,21
Christian Medina Murphy,GBR,138,308,2024,no verified account,no verified account,no verified account,no verified account,no verified account,22
Giulio Graziotti,ITA,131,276,2024,no verified account,no verified account,no verified account,no verified account,no verified account,23
Roger Aromi Siquier,ESP,127,237,2024,no verified account,no verified account,no verified account,no verified account,no verified account,24
Sergio Icardo,ESP,124,401,2024,no verified account,no verified account,no verified account,no verified account,no verified account,25
Riccardo Sinicropi,ITA,119,348,2024,no verified account,no verified account,no verified account,no verified account,no verified account,26
Adria Mercadal,ESP,116,283,2024,no verified account,no verified account,no verified account,no verified account,no verified account,27
Gonzalo Perez Arbona,ESP,113,329,2024,no verified account,no verified account,no verified account,no verified account,no verified account,28
Christian Fuster,ESP,109,329,2024,no verified account,no verified account,no verified account,no verified account,no verified account,29
Simon Vasquez,SWE,106,363,2024,no verified account,no verified account,no verified account,no verified account,no verified account,30
Anton Sans,ESP,105,610,2024,no verified account,no verified account,no verified account,no verified account,no verified account,31
Pedro Vera,ESP,104,419,2024,no verified account,no verified account,no verified account,no verified account,no verified account,32
Javier Martinez,ESP,102,661,2024,no verified account,no verified account,no verified account,no verified account,no verified account,33
