player_name,wins,matches_played,win_rate,points,position,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,total_followers,avg_followers,social_presence_score,ranking_quality,performance_index,gender_encoded,primary_brand_encoded,primary_equipment_encoded
Daniel Windahl,8,22.0,36.36363636363637,279.0,183.0,,,,,,0.0,,,230.125,,1,7,3
Jose Solano Marmolejo,12,27.0,44.44444444444444,448.0,1.0,,,,,,0.0,,,412.125,,1,7,3
Federico Mouriño,25,46.0,54.347826086956516,,,,,,,,0.0,,,,,2,7,3
Victor Mena,10,24.0,41.66666666666667,370.0,150.0,,,,,,0.0,,,263.125,,1,7,3
Miguel Semmler,12,25.0,48.0,1205.0,1.0,,,,,,0.0,,,412.125,,1,7,3
Pablo Lijo,30,60.0,51.66666666666667,1390.0,46.0,,,,,,0.0,,,367.125,,1,7,3
Jose Luis Gonzalez,5,18.0,27.77777777777778,1060.0,60.0,,,,,,0.0,,,353.125,,1,7,3
Antonio Luque,7,18.0,38.88888888888889,717.0,69.0,,,,,,0.0,,,344.125,,1,7,3
Miguel Yanguas,30,65.25,63.1578947368421,2415.125,4.0,,,,,,0.0,,,409.125,,1,7,3
Alejandro Arroyo,30,65.25,61.904761904761905,2415.125,26.0,,,,,,0.0,,,387.125,,1,7,3
Alonso Rodriguez Martinez,6,20.0,30.0,964.0,69.0,,,,,,0.0,,,344.125,,1,7,3
Cristian German Gutierrez,12,34.0,35.294117647058826,243.0,206.0,,,,,,0.0,,,207.125,,1,7,3
Lucas Bergamini,30,65.25,56.56565656565656,2415.125,13.0,55187.0,11271.0,13687.0,20070.0,2808.0,100215.0,25053.75,23.75161740705618,400.125,58.87822646530395,1,7,3
Victor Ruiz,30,65.25,48.0,2415.125,18.0,50601.0,5589.0,27868.0,12192.0,2260.0,96250.0,24062.5,17.964368197714325,395.125,53.351821833290636,1,7,3
Agustin Gomez Silingo,6,14.0,42.857142857142854,,,,,,,,0.0,,,,,2,7,3
Juan Martin Diaz Martinez,1,5.0,20.0,,,,,,,,0.0,,,,,2,7,3
Francisco Guerrero,30,65.25,54.32098765432099,2415.125,14.0,,,,,,0.0,,,399.125,,1,7,3
Jesus Moya,20,32.0,62.5,728.0,93.0,48375.0,13434.0,58126.0,9244.0,2952.0,129179.0,32294.75,27.125027734926977,320.125,56.44051105023241,1,7,3
Rayyan Al Jufairi,0,1.0,0.0,,,,,,,,0.0,,,,,2,7,3
Ali Alsaygh,0,2.0,0.0,89.0,75.0,,,,,,0.0,,,338.125,,0,7,3
Miguel Benitez Lara,17,37.0,45.94594594594595,648.0,73.0,,,,,,0.0,,,340.125,,1,7,3
Mario Del Castillo,16,34.0,47.05882352941176,963.0,70.0,,,,,,0.0,,,343.125,,1,7,3
Ruben Rivera,3,7.0,42.857142857142854,774.0,90.0,,,,,,0.0,,,323.125,,1,7,3
Adria Mercadal,3,8.0,37.5,591.0,91.0,,,,,,0.0,,,322.125,,1,7,3
Ignacio Vilariño Gestoso,21,38.0,55.26315789473685,,,,,,,,0.0,,,,,2,7,3
Jaime Munoz,17,44.0,38.63636363636363,1205.0,33.0,,,,,,0.0,,,380.125,,1,7,3
