player_name,country,points,position,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,gender,total_matches,total_wins,total_games_won,total_games_lost,tournaments_played,years_active,avg_round,max_round,matches_3set,avg_dominance,win_rate,game_diff,clutch_rate,wr_early,wr_mid,wr_late,wr_major,wr_p1,wr_p2,unique_partners,partner_loyalty,trajectory_slope,pts_growth,pos_improvement,gender_enc,country_enc,total_social,log_social,log_points,cluster,cluster_gmm,cluster_hier,segment
Maria Breidy,LBN,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,57,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Patricia Brandao Almeida,POR,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Neda Vukman,SRB,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,89,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Vera Machado,POR,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Rovanny Conle Castillo,ESP,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Joana Martins Brito FigueirÃŽa Da Silva,POR,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Joana Zanatti,POR,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
RocÃ­o MartÃ­nez Collado,ESP,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Elma Misanovic,SWE,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
Nerea Sanchez Batanero,ESP,2,1386,0.0,0.0,0.0,0.0,0.0,femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0.0,0.0,1.0986122886681098,1,2,3,Newcomers
