player_name,country,points,position,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,gender,total_matches,total_wins,total_games_won,total_games_lost,tournaments_played,years_active,avg_round,max_round,matches_3set,avg_dominance,win_rate,game_diff,clutch_rate,wr_early,wr_mid,wr_late,wr_major,wr_p1,wr_p2,unique_partners,partner_loyalty,trajectory_slope,pts_growth,pos_improvement,gender_enc,country_enc,total_social,log_social,log_points,cluster,cluster_gmm,cluster_hier,segment,expected_wr,overperformance,points_per_match,anomaly_iso,anomaly_score,anomaly_lof
Maxime Moreau,FRA,1,2689,0.0,0.0,0.0,0.0,0.0,homme,3.0,0.0,33.0,42.0,2.0,2.0,1.3333333333333333,2.0,0.0,-0.12,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,-881.0,-435.0,-2643.0,1,33,0.0,0.0,0.6931471805599453,1,1,0,Newcomers,0.0,0.0,0.3333333333333333,-1,-0.6931504301975423,-1
Nicolas Suescun,ITA,435,129,0.0,0.0,0.0,0.0,0.0,homme,14.0,5.0,123.0,147.0,7.0,3.0,1.4285714285714286,3.0,4.0,-0.0733153793865973,0.35714285714285715,-24.0,0.5,0.38461538461538464,0.0,0.35714285714285715,0.42857142857142855,0.2,0.5,5.0,0.2,-39.666666666666664,-239.0,-119.0,1,49,0.0,0.0,6.077642243349034,2,1,2,Contenders,0.952026775753068,-0.5948839186102108,31.071428571428573,1,-0.36635680975088275,1
Arturo Coello,ESP,19800,1,245000.0,45000.0,180000.0,34844.0,3530.0,homme,129.0,111.0,1528.0,841.0,40.0,3.0,3.4031007751937983,6.0,22.0,0.37545241201756013,0.8604651162790697,687.0,0.6818181818181818,0.875,0.918918918918919,0.7777777777777778,0.6818181818181818,0.8780487804878049,0.9166666666666666,1.0,1.0,5.5,13430.0,11.0,1,30,508374.0,13.138974643209526,9.893487720457795,3,3,1,Stars,0.9996281145407214,-0.13916299826165168,153.48837209302326,-1,-0.6477027983089634,-1
Agustin Tapia,ARG,19800,1,380000.0,62000.0,250000.0,85000.0,11200.0,homme,129.0,111.0,1528.0,841.0,40.0,3.0,3.4031007751937983,6.0,22.0,0.37545241201756013,0.8604651162790697,687.0,0.6818181818181818,0.875,0.918918918918919,0.7777777777777778,0.6818181818181818,0.8780487804878049,0.9166666666666666,1.0,1.0,5.5,12070.0,11.0,1,1,788200.0,13.57750841245576,9.893487720457795,3,3,1,Stars,0.9996281145407214,-0.13916299826165168,153.48837209302326,-1,-0.6477027983089634,-1
Alejandro Galan,ESP,17320,3,390000.0,58000.0,210000.0,78000.0,8900.0,homme,130.0,88.0,1239.0,1060.0,41.0,3.0,3.3,6.0,19.0,0.03834631336260436,0.676923076923077,179.0,0.631578947368421,0.4915254237288136,0.9230769230769231,0.71875,0.47368421052631576,0.42857142857142855,0.9076923076923077,2.0,0.5,-1.0,3920.0,-2.0,1,30,744900.0,13.521006602625542,9.75967491717028,3,3,1,Stars,0.9988843436221644,-0.3219612666990874,133.23076923076923,-1,-0.5007677487205157,1
Federico Chingotto,ARG,17320,3,195000.0,15634.0,31673.0,18061.0,3895.0,homme,137.0,83.0,1282.0,1265.0,41.0,3.0,3.386861313868613,6.0,21.0,-0.05661741312192016,0.6058394160583942,17.0,0.5714285714285714,0.3389830508474576,0.8571428571428571,0.75,0.20833333333333334,0.38636363636363635,0.9076923076923077,4.0,0.25,2.0,8850.0,4.0,1,1,264263.0,12.484703882461536,9.75967491717028,3,3,1,Stars,0.9988843436221644,-0.3930449275637702,126.42335766423358,1,-0.4862961956102155,1
Franco Stupaczuk,ARG,7905,5,180000.0,14775.0,47500.0,16664.0,1361.0,homme,138.0,88.0,1590.0,1461.0,42.0,3.0,3.3550724637681157,6.0,46.0,0.037619390451540766,0.6376811594202898,129.0,0.6956521739130435,0.6491228070175439,0.723404255319149,0.5,0.5625,0.5882352941176471,0.75,4.0,0.25,-1.0,-5495.0,-2.0,1,1,260300.0,12.469593932696368,8.97537724385663,3,3,1,Stars,0.9981405727036073,-0.36045941328331754,57.28260869565217,1,-0.4580887798743519,1
Juan Lebron,ESP,7845,6,520000.0,85000.0,320000.0,95000.0,12500.0,homme,124.0,81.0,1486.0,1184.0,41.0,3.0,3.1774193548387095,6.0,41.0,0.16974157102213341,0.6532258064516129,302.0,0.5853658536585366,0.6607142857142857,0.7674418604651163,0.44,0.76,0.4883720930232558,0.7547169811320755,7.0,0.14285714285714285,-2.5,-5555.0,-5.0,1,30,1032500.0,13.847494572339858,8.967759126769497,3,3,1,Stars,0.9977686872443288,-0.3445428807927159,63.266129032258064,-1,-0.5116261990806292,1
Jorge Nieto,ESP,6322,7,0.0,0.0,0.0,0.0,0.0,homme,97.0,63.0,1210.0,1064.0,35.0,3.0,2.9072164948453607,6.0,40.0,0.08107620958767861,0.6494845360824743,146.0,0.65,0.673469387755102,0.6857142857142857,0.46153846153846156,0.5384615384615384,0.6333333333333333,0.7105263157894737,3.0,0.3333333333333333,0.0,0.0,0.0,1,30,0.0,0.0,8.751949058058614,2,3,1,Contenders,0.9973968017850502,-0.34791226570257594,65.17525773195877,1,-0.440590702272234,1
Miguel Yanguas,ESP,6322,7,0.0,0.0,0.0,0.0,0.0,homme,120.0,71.0,1439.0,1208.0,45.0,3.0,2.841666666666667,6.0,28.0,0.12049428628197736,0.5916666666666667,231.0,0.32142857142857145,0.5846153846153846,0.6904761904761905,0.3076923076923077,0.46875,0.65,0.6521739130434783,6.0,0.16666666666666666,-1.5,1147.0,-3.0,1,30,0.0,0.0,8.751949058058614,3,3,1,Stars,0.9973968017850502,-0.4057301351183835,52.68333333333333,1,-0.4902182516688054,1
